FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,
2.706654,-1.0,355.9515380859375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.9515380859375,0.0,0.0,0.0,0.0,0.23,-0.0,0.0,0.0,0.087890625,0.263671875,,
2.757564,-1.0,355.94879150390625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.94879150390625,0.0,0.0,0.0,0.0,0.23,-0.0,0.0,0.0,0.087890625,0.263671875,,
2.779946,-1.0,355.94879150390625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.94879150390625,0.0,0.0,0.0,0.0,0.23,-0.06097560975609757,0.0,0.0,0.087890625,0.263671875,,
2.803491,-1.0,355.94879150390625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.94879150390625,0.0,0.0,0.0,0.0,0.23,-0.06097560975609757,0.0,0.0,0.087890625,0.263671875,,
2.833211,-1.0,355.9515380859375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.9515380859375,0.0,0.0,0.0,0.0,0.21,-0.06097560975609757,0.0,0.0,0.087890625,0.263671875,,
2.882877,-1.0,355.94879150390625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.94879150390625,0.0,0.0,0.0,0.0,0.22,-0.0,0.06097560975609757,0.0,0.087890625,0.263671875,,
2.933429,-1.0,355.94879150390625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.94879150390625,0.0,0.0,0.0,0.0,0.22,0.06097560975609757,0.0,0.0,0.087890625,0.263671875,,
2.976451,-1.0,355.94879150390625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.94879150390625,0.0,0.0,0.0,0.0,0.22,-0.0,0.0,-0.06097560975609757,0.087890625,0.263671875,,
3.02374,-1.0,355.9515380859375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.9515380859375,0.0,0.0,0.0,0.0,0.21,-0.0,0.0,-0.06097560975609757,0.087890625,0.263671875,,
3.0589,-1.0,355.9515380859375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,355.9515380859375,0.0,0.0,0.0,0.0,0.21,-0.0,0.0,0.0,0.087890625,0.263671875,,
