FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,BallivatorTop,BallivatorBottom,NumBalls,
2.848775,-1.0,89.84619140625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.06097560975609757,-0.087890625,0.087890625,,-313.0,NEUTRAL,,,,89.84619140625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
2.916049,-1.0,89.84344482421875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.84344482421875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
2.953194,-1.0,89.8406982421875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.8406982421875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.002384,-1.0,89.8406982421875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.8406982421875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.087607,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.06097560975609757,0.06097560975609757,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.137494,-1.0,89.835205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.835205078125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.187231,-1.0,89.835205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,0.06097560975609757,0.0,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.835205078125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.254649,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,0.06097560975609757,0.06097560975609757,-0.06097560975609757,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.316417,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.06097560975609757,-0.06097560975609757,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.369448,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,-0.12195121951219513,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.415816,-1.0,89.835205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.12195121951219513,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.835205078125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.461535,-1.0,89.835205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.12195121951219513,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.835205078125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.511178,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.12195121951219513,0.0,0.0,-0.087890625,0.087890625,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.600815,-1.0,89.8297119140625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.24390243902439027,0.24390243902439027,0.7317073170731708,-0.087890625,0.087890625,,-313.0,NEUTRAL,,,,89.8297119140625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.649765,-1.0,89.83245849609375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,1.1585365853658538,-0.1829268292682927,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.83245849609375,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.676252,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,1.1585365853658538,-0.1829268292682927,0.0,-0.087890625,0.087890625,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.739564,-1.0,89.83795166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,0.1829268292682927,-0.30487804878048785,0.0,-0.087890625,0.0439453125,,-313.0,NEUTRAL,,,,89.83795166015625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
