FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,
3.429896,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
3.446583,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.27,
3.506971,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
3.572426,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.28,
3.651955,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.27,
3.738821,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.27,
3.771583,-1.0,358.1378173828125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1378173828125,0.0,0.0,0.0,0.0,0.25,
3.784748,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
3.799275,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
3.816292,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
3.832927,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
3.845958,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
3.859628,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
3.872415,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
3.883499,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
3.895491,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
3.909454,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.27,
3.923801,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
3.938054,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
3.971354,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
3.986969,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
3.999411,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.011904,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.024012,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.036872,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.050252,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.061922,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.074681,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.087007,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.0997,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.11284,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.123826,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.135887,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.146643,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.158387,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
4.167812,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
4.179714,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
4.192217,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.222665,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.233162,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.24382,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.255049,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.264361,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
