FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,
2.924101,-1.0,356.2152099609375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.2152099609375,0.0,0.0,0.0,0.0,0.29,-0.0,-0.48780487804878053,0.6707317073170732,-0.7470703125,-3.1201171875,,
2.966252,-1.0,356.231689453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.231689453125,0.0,0.0,0.0,0.0,0.29,-0.0,-0.06097560975609757,0.06097560975609757,-0.7470703125,-3.1201171875,,
2.989098,-1.0,356.23443603515625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.23443603515625,0.0,0.0,0.0,0.0,0.28,-0.0,-0.06097560975609757,0.06097560975609757,-0.7470703125,-3.1201171875,,
3.011596,-1.0,356.2481689453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.2481689453125,0.0,0.0,0.0,0.0,0.28,-0.0,0.06097560975609757,-0.3658536585365854,-0.7470703125,-3.1201171875,,
3.053825,-1.0,356.25091552734375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.25091552734375,0.0,0.0,0.0,0.0,0.28,-0.0,0.06097560975609757,-0.3658536585365854,-0.7470703125,-3.1201171875,,
3.082379,-1.0,356.24267578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.24267578125,0.0,0.0,0.0,0.0,0.3,-0.0,0.06097560975609757,0.30487804878048785,-0.7470703125,-3.1201171875,,
3.099679,-1.0,356.231689453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.231689453125,0.0,0.0,0.0,0.0,0.3,-0.0,0.06097560975609757,0.30487804878048785,-0.7470703125,-3.1201171875,,
3.119039,-1.0,356.22894287109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.22894287109375,0.0,0.0,0.0,0.0,0.3,-0.0,0.06097560975609757,0.30487804878048785,-0.7470703125,-3.1201171875,,
3.135669,-1.0,356.220703125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.220703125,0.0,0.0,0.0,0.0,0.31,-0.0,-0.3658536585365854,0.426829268292683,-0.7470703125,-3.1201171875,,
3.153496,-1.0,356.21246337890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,356.21246337890625,0.0,0.0,0.0,0.0,0.31,-0.0,-0.3658536585365854,0.426829268292683,-0.7470703125,-3.1201171875,,
