FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,BallivatorTop,BallivatorBottom,NumBalls,
3.34598,-1.0,89.45892333984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,-0.06097560975609757,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.45892333984375,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.393627,-1.0,89.45892333984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,-0.06097560975609757,-0.12195121951219513,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.45892333984375,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.439145,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,-0.06097560975609757,-0.12195121951219513,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.471775,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.521737,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.554512,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.580002,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.606634,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.634844,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
3.656898,-1.0,89.4561767578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.12195121951219513,0.0,0.06097560975609757,0.087890625,-0.5712890625,,0.0,NEUTRAL,,,,89.4561767578125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,
