FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,
2.90794,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
3.004057,-1.0,353.00994873046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00994873046875,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1318359375,
3.093301,-1.0,353.0072021484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0072021484375,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
3.186054,-1.0,353.0072021484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0072021484375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,0.0,0.1318359375,
3.227192,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,0.06097560975609757,0.1318359375,
3.321123,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,0.06097560975609757,0.1318359375,
3.355209,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,0.0,-0.06097560975609757,0.0,0.1318359375,
3.374562,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.09,0.0,-0.06097560975609757,0.0,0.1318359375,
3.394757,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.08,-0.06097560975609757,0.0,0.0,0.1318359375,
3.4133,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.08,-0.06097560975609757,0.0,0.0,0.1318359375,
