FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,
2.958235,-1.0,354.7100830078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-235813.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.71008300781256,0.0,0.0,0.0,0.0,8.66,2.378048780487805,2.378048780487805,1.0365853658536586,-0.966796875,8.6572265625,,
2.999304,-1.0,354.7650146484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234516.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.7650146484375,0.0,0.0,0.0,0.0,9.35,-0.3658536585365854,0.9146341463414634,3.780487804878049,-0.791015625,8.1298828125,,
3.020879,-1.0,354.59747314453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234456.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.59747314453125,0.0,0.0,0.0,0.0,9.35,-0.3658536585365854,0.9146341463414634,3.780487804878049,-0.791015625,8.173828125,,
3.04332,-1.0,354.5782470703125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234381.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.5782470703125,0.0,0.0,0.0,0.0,9.35,-0.3658536585365854,0.3658536585365854,0.9756097560975611,-0.791015625,8.173828125,,
3.065845,-1.0,354.59197998046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234314.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.59197998046875,0.0,0.0,0.0,0.0,9.06,-0.3658536585365854,0.3658536585365854,0.9756097560975611,-0.8349609375,8.173828125,,
3.11013,-1.0,354.6221923828125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234167.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.6221923828125,0.0,0.0,0.0,0.0,9.4,-0.3658536585365854,0.3658536585365854,0.9756097560975611,-0.8349609375,8.173828125,,
3.127344,-1.0,354.70733642578125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234094.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.70733642578125,0.0,0.0,0.0,0.0,9.4,-0.6707317073170732,-0.48780487804878053,-1.6463414634146343,-0.8349609375,8.2177734375,,
3.145474,-1.0,354.72381591796875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-234094.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.72381591796875,0.0,0.0,0.0,0.0,9.4,-0.6707317073170732,-0.48780487804878053,-1.6463414634146343,-0.8349609375,8.2177734375,,
3.162695,-1.0,354.7540283203125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-233955.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.7540283203125,0.0,0.0,0.0,0.0,8.88,-0.6707317073170732,-0.48780487804878053,-1.6463414634146343,-0.8349609375,8.2177734375,,
3.179409,-1.0,354.77874755859375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-233955.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.77874755859375,0.0,0.0,0.0,0.0,8.88,-0.12195121951219513,-0.426829268292683,-1.0365853658536586,-0.8349609375,8.2177734375,,
