FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,
2.785395,-1.0,354.210205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.210205078125,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.06097560975609757,0.0,0.0,0.1318359375,,
2.834412,-1.0,354.210205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.210205078125,0.0,0.0,0.0,0.0,0.1,-0.06097560975609757,0.06097560975609757,0.0,0.0,0.1318359375,,
2.856484,-1.0,354.21295166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.21295166015625,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.06097560975609757,0.0,0.0,0.1318359375,,
2.878271,-1.0,354.21295166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.21295166015625,0.0,0.0,0.0,0.0,0.09,-0.0,0.0,0.0,0.0,0.1318359375,,
2.901778,-1.0,354.21295166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.21295166015625,0.0,0.0,0.0,0.0,0.11,-0.0,0.0,0.0,0.0,0.1318359375,,
2.924261,-1.0,354.21295166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.21295166015625,0.0,0.0,0.0,0.0,0.11,-0.0,0.0,0.0,0.0,0.1318359375,,
2.945941,-1.0,354.21295166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.21295166015625,0.0,0.0,0.0,0.0,0.11,0.06097560975609757,0.0,0.0,0.0,0.1318359375,,
2.969428,-1.0,354.21295166015625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.21295166015625,0.0,0.0,0.0,0.0,0.11,0.06097560975609757,0.0,0.0,0.0,0.1318359375,,
2.990699,-1.0,354.210205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.210205078125,0.0,0.0,0.0,0.0,0.11,0.06097560975609757,0.0,0.0,0.0,0.1318359375,,
3.006943,-1.0,354.210205078125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.210205078125,0.0,0.0,0.0,0.0,0.1,-0.0,0.0,0.0,0.0,0.1318359375,,
