FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,BallivatorTop,BallivatorBottom,NumBalls,Current Draw 1,Current Draw 3,Current Draw 5,Current Draw 7,Current Supply 1,Current Supply 3,Current Supply 5,Current Supply 7,
3.958382,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.1,0.24,0.0,0.0,0.0,0.0,
3.971646,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.1,0.24,0.0,0.0,0.0,0.0,
3.983834,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.1,0.24,0.0,0.0,0.0,0.0,
3.996847,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.15,0.09,0.22,0.0,0.0,0.0,0.0,
4.041486,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,-0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.15,0.09,0.22,0.0,0.0,0.0,0.0,
4.054572,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,-0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.066136,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.077634,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.092029,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.129398,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.17,0.1,0.24,0.0,0.0,0.0,0.0,
4.151113,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.17,0.1,0.24,0.0,0.0,0.0,0.0,
4.166722,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.17,0.1,0.24,0.0,0.0,0.0,0.0,
4.178709,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.17,0.1,0.24,0.0,0.0,0.0,0.0,
4.189784,-1.0,84.1717529296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.1717529296875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.17,0.1,0.24,0.0,0.0,0.0,0.0,
4.200165,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.06097560975609757,0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.211027,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.06097560975609757,0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.220924,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.06097560975609757,0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.232777,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.06097560975609757,0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.23,0.0,0.0,0.0,0.0,
4.245352,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.06097560975609757,0.06097560975609757,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.26,0.16,0.09,0.24,0.0,0.0,0.0,0.0,
4.256604,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.27,0.17,0.09,0.24,0.0,0.0,0.0,0.0,
4.267348,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.27,0.17,0.09,0.24,0.0,0.0,0.0,0.0,
4.279375,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.27,0.17,0.09,0.24,0.0,0.0,0.0,0.0,
4.295403,-1.0,84.16900634765625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.1318359375,0.6591796875,,0.0,NEUTRAL,,,,84.16900634765625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.27,0.17,0.09,0.24,0.0,0.0,0.0,0.0,
