FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,BallivatorTop,BallivatorBottom,NumBalls,Current Draw 1,Current Draw 3,Current Draw 5,Current Draw 7,Current Supply 1,Current Supply 3,Current Supply 5,Current Supply 7,
4.948297,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.12,0.19,0.09,0.0,0.0,0.0,0.0,
6.149285,-1.0,-19.193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-246698.0,0.0,-112.0,-221234.4263111111,0.12195121951219513,0.12195121951219513,0.1829268292682927,0.439453125,1.0546875,,0.0,NEUTRAL,,,,-19.193115234375,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.15,0.13,0.19,0.11,0.0,0.0,0.0,0.0,
6.224995,-1.0,-19.14642333984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-277598.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,0.0,-0.1829268292682927,0.439453125,0.9228515625,,0.0,NEUTRAL,,,,-19.146423339843754,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.14,0.11,0.18,0.09,0.0,0.0,0.0,0.0,
6.289447,-1.0,-19.13543701171875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-277598.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,-0.06097560975609757,0.439453125,0.87890625,,0.0,NEUTRAL,,,,-19.13543701171875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.15,0.12,0.18,0.1,0.0,0.0,0.0,0.0,
6.347582,-1.0,-19.13543701171875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-277598.0,0.0,-112.0,-221234.4263111111,-0.0,-0.1829268292682927,-0.12195121951219513,0.3955078125,0.87890625,,0.0,NEUTRAL,,,,-19.13543701171875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.14,0.11,0.18,0.1,0.0,0.0,0.0,0.0,
6.409356,-1.0,-19.12445068359375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.1829268292682927,-0.1829268292682927,0.0,0.439453125,0.87890625,,0.0,NEUTRAL,,,,-19.12445068359375,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.15,0.12,0.19,0.09,0.0,0.0,0.0,0.0,
6.512809,-1.0,-19.127197265625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.06097560975609757,-0.06097560975609757,0.06097560975609757,0.439453125,0.87890625,,0.0,NEUTRAL,,,,-19.127197265625,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.16,0.12,0.2,0.08,0.0,0.0,0.0,0.0,
6.672485,-1.0,-19.12445068359375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.0,0.0,0.0,0.439453125,0.87890625,,0.0,NEUTRAL,,,,-19.12445068359375,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.17,0.12,0.2,0.07,0.0,0.0,0.0,0.0,
6.740214,-1.0,-19.11895751953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,0.1829268292682927,-0.12195121951219513,-0.06097560975609757,0.439453125,0.87890625,,0.0,NEUTRAL,,,,-19.11895751953125,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.16,0.12,0.19,0.1,0.0,0.0,0.0,0.0,
6.80484,-1.0,-19.11346435546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-221234.0,0.0,-112.0,-221234.4263111111,-0.30487804878048785,-0.6707317073170732,-0.06097560975609757,0.4833984375,0.87890625,,0.0,NEUTRAL,,,,-19.11346435546875,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.14,0.12,0.18,0.09,0.0,0.0,0.0,0.0,
