FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,ClimberReleased,
2.710675,-1.0,354.93804931640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.93804931640625,0.0,0.0,0.0,0.0,0.26,0.06097560975609757,0.0,0.0,-0.087890625,0.1318359375,,
2.755701,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,0.12195121951219513,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
2.777857,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,0.12195121951219513,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
2.800301,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
2.847443,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
2.901,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
2.955283,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.26,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
2.995671,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.032587,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.086142,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.141509,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.178143,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.195946,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.214515,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.233571,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.251076,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.270383,-1.0,354.94903564453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94903564453125,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.289047,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.25,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.309003,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.25,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.326597,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.25,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.344248,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.36076,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.378284,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.396125,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.25,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.414283,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.25,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.43188,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.25,0.06097560975609757,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
3.491803,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,0.06097560975609757,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
3.522131,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
3.543711,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.28,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
3.563322,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.643473,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.783483,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.826883,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.29,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
3.871226,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,-0.0,0.06097560975609757,0.0,-0.087890625,0.1318359375,,
3.887631,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.89934,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.912007,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.927433,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.28,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.943428,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.29,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.965232,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.29,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
3.99019,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.29,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
4.001748,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
4.0145,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
4.026923,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
4.039934,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
4.053009,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,-0.0,0.0,0.0,-0.087890625,0.1318359375,,
4.066048,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.26,0.12195121951219513,0.0,0.0,-0.087890625,0.1318359375,,
4.078538,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.26,0.12195121951219513,0.0,0.0,-0.087890625,0.1318359375,,
4.092258,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,0.12195121951219513,0.0,0.0,-0.087890625,0.1318359375,,
4.104572,-1.0,354.94354248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.94354248046875,0.0,0.0,0.0,0.0,0.27,0.12195121951219513,0.0,0.0,-0.087890625,0.1318359375,,
4.115063,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,-0.0,0.06097560975609757,-0.06097560975609757,-0.087890625,0.1318359375,,
4.126572,-1.0,354.9462890625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,preClimb,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9462890625,0.0,0.0,0.0,0.0,0.27,-0.0,0.06097560975609757,-0.06097560975609757,-0.087890625,0.1318359375,,
