FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,
3.338415,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.386096,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.42304,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.461339,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,
3.496974,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.08,0.06097560975609757,0.0,0.06097560975609757,
3.547734,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,0.06097560975609757,
3.588701,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.62087,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.649497,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.07,0.0,-0.06097560975609757,0.0,
3.665601,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,-0.06097560975609757,0.0,
